,state,action,reward
0,"[2.0, 2.5, 2.0, 2.5, 0.1, 2.5, 0.1, 2.5]","[1, 1, 0, 0]",4.0
1,"[0.1, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[0, 1, 1, 1]",4.0
2,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
3,"[0.1, 2.5, 2.0, 2.5, 1.0, 2.5, 2.0, 2.5]","[0, 1, 0, 1]",4.0
4,"[2.0, 2.5, 2.0, 2.5, 1.0, 2.5, 2.0, 2.5]","[1, 1, 0, 1]",4.0
5,"[2.0, 2.5, 1.0, 2.5, 0.1, 2.5, 1.0, 2.5]","[1, 0, 0, 0]",4.0
6,"[1.0, 2.5, 2.0, 2.5, 1.0, 2.5, 2.0, 2.5]","[0, 1, 0, 1]",4.0
7,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
8,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
9,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
10,"[2.0, 2.5, 1.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",3.9024391174316406
11,"[2.0, 2.5, 0.1, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 0, 1, 1]",4.0
12,"[2.0, 2.5, 0.1, 2.5, 1.0, 2.5, 2.0, 2.5]","[1, 0, 1, 1]",3.9024391174316406
13,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
14,"[1.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",3.9024391174316406
15,"[2.0, 2.5, 2.0, 2.5, 0.1, 2.5, 2.0, 2.5]","[1, 1, 0, 1]",4.0
16,"[2.0, 2.5, 2.0, 2.5, 0.1, 2.5, 2.0, 2.5]","[1, 1, 0, 1]",4.0
17,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 1.0, 2.5]","[1, 1, 1, 0]",4.0
18,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
19,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
20,"[1.0, 2.5, 2.0, 2.5, 2.0, 2.5, 1.0, 2.5]","[1, 1, 1, 0]",3.9024391174316406
21,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
22,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
23,"[0.1, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[0, 1, 1, 1]",4.0
24,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
25,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
26,"[2.0, 2.5, 1.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 0, 1, 1]",4.0
27,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
28,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
29,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
30,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 1.0, 2.5]","[1, 1, 1, 1]",3.9024391174316406
31,"[2.0, 2.5, 2.0, 2.5, 1.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",3.9024391174316406
32,"[2.0, 2.5, 1.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",3.9024391174316406
33,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
34,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
35,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
36,"[2.0, 2.5, 0.1, 2.5, 0.1, 2.5, 2.0, 2.5]","[1, 0, 0, 1]",4.0
37,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 0.1, 2.5]","[1, 1, 1, 0]",4.0
38,"[1.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",3.9024391174316406
39,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
40,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
41,"[2.0, 2.5, 0.1, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 0, 1, 1]",4.0
42,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
43,"[0.1, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[0, 1, 1, 1]",4.0
44,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 1.0, 2.5]","[1, 1, 1, 0]",4.0
45,"[1.0, 2.5, 2.0, 2.5, 0.1, 2.5, 2.0, 2.5]","[0, 1, 0, 1]",4.0
46,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
47,"[2.0, 2.5, 1.0, 2.5, 2.0, 2.5, 1.0, 2.5]","[1, 1, 1, 0]",3.9024391174316406
48,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 0.1, 2.5]","[1, 1, 1, 0]",4.0
49,"[2.0, 2.5, 2.0, 2.5, 1.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",3.9024391174316406
50,"[0.1, 2.5, 0.1, 2.5, 2.0, 2.5, 2.0, 2.5]","[0, 0, 1, 1]",4.0
51,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
52,"[1.0, 2.5, 1.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",3.9024391174316406
53,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
54,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
55,"[1.0, 2.5, 2.0, 2.5, 2.0, 2.5, 0.1, 2.5]","[0, 1, 1, 0]",4.0
56,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
57,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
58,"[2.0, 2.5, 1.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 0, 1, 1]",4.0
59,"[2.0, 2.5, 0.1, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 0, 1, 1]",4.0
60,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 0.1, 2.5]","[1, 1, 1, 0]",4.0
61,"[2.0, 2.5, 1.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 0, 1, 1]",4.0
62,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 1.0, 2.5]","[1, 1, 1, 0]",4.0
